Course,Course__FAA_,Title,Period,Division,Branch,Type,Delivery,Is_Active__course_,Is_Cancelled__course_,Cancelled_Date__course_,Class,Class_Start,Class_End,Is_Active__class_,Is_Cancelled__class_,Cancelled_Date__class_,Class_Favorability,Class_Favorability__eoc_,Class_Favorability__post_,Evaluations_Completed,Evaluations_Sent,Completion_Rate,Evaluation,Sent_Date,Completed_Date,Is_Completed,Days_to_Complete_Evaluation,Evaluation_Favorability,Question,Type__question_,Subtype__question_,Metric,Statement,Sort__question_,Statement__short_,Answer,Sentiment,Degree,Attitude,Response__positive_,Response__negative_,Sort__sentiment_,Comment,Comments_per_Eval,Category,Comment_Date,Is_Duplicate,Length__original_,Length,Word_Count,Sentence_Count,Question_Count,Exclamation_Count,Comments,Date,Use_Date,FY_Start,FY_End,Is_Holiday,Is_Weekday,Is_Last_Day_of_Month
50148001,FAA50148001,INITIAL EN ROUTE QUALIFICATION TRAINING,90,AMA-500,AMA-511,COURSE,RES,Y,N,,96957,20OCT2016:00:00:00.000,18JAN2017:00:00:00.000,Y,N,,0.928571,0.951127,1,40,55,0.727272,1161212271,12DEC2016:00:00:00.000,13JAN2017:00:00:00.000,Y,32,0.933333,7,End of Course,Resident,Learning Enviro,Th,7,Di,2,Ag,No,Po,1,0,2,221319,8,Statement,13JAN2017:00:00:00.000,N,53,53,10,1,0,0,Sometimes the halls ways can loud and hard to listen.,20161020,20OCT2016:00:00:00.000,01OCT2016:00:00:00.000,30SEP2017:00:00:00.000,N,Y,N
50148001,FAA50148001,INITIAL EN ROUTE QUALIFICATION TRAINING,90,AMA-500,AMA-511,COURSE,RES,Y,N,,96957,20OCT2016:00:00:00.000,18JAN2017:00:00:00.000,Y,N,,0.928571,0.951127,1,40,55,0.727272,1161212271,12DEC2016:00:00:00.000,13JAN2017:00:00:00.000,Y,32,0.933333,8,End of Course,Resident,Course Relevanc,Th,8,Im,4,So,Mi,Ne,0,1,4,221320,8,Statement,13JAN2017:00:00:00.000,N,243,243,48,4,0,0,I'm not sure why there was a lesson plan Radar Vectoring and Beacon Code assignment. To me that was a waste of time. We do not radar vector or assign beacon codes. It would have been more helpful if there was a lesson plan just for point outs.,20161020,20OCT2016:00:00:00.000,01OCT2016:00:00:00.000,30SEP2017:00:00:00.000,N,Y,N
50148001,FAA50148001,INITIAL EN ROUTE QUALIFICATION TRAINING,90,AMA-500,AMA-511,COURSE,RES,Y,N,,96957,20OCT2016:00:00:00.000,18JAN2017:00:00:00.000,Y,N,,0.928571,0.951127,1,40,55,0.727272,1161212271,12DEC2016:00:00:00.000,13JAN2017:00:00:00.000,Y,32,0.933333,9,End of Course,Resident,Course Curricul,Th,9,Ap,2,Ag,No,Po,1,0,2,221321,8,Statement,13JAN2017:00:00:00.000,N,46,46,10,1,0,0,I think there could be an extra week for ERAM.,20161020,20OCT2016:00:00:00.000,01OCT2016:00:00:00.000,30SEP2017:00:00:00.000,N,Y,N
50148001,FAA50148001,INITIAL EN ROUTE QUALIFICATION TRAINING,90,AMA-500,AMA-511,COURSE,RES,Y,N,,96957,20OCT2016:00:00:00.000,18JAN2017:00:00:00.000,Y,N,,0.928571,0.951127,1,40,55,0.727272,1161212271,12DEC2016:00:00:00.000,13JAN2017:00:00:00.000,Y,32,0.933333,1,End of Course,Resident,Performance Tes,Th,13,Ev,7,No,No,No,,,7,221322,8,Statement,13JAN2017:00:00:00.000,N,28,28,5,1,0,0,Haven't taken ERAM evals yet,20161020,20OCT2016:00:00:00.000,01OCT2016:00:00:00.000,30SEP2017:00:00:00.000,N,Y,N
50148001,FAA50148001,INITIAL EN ROUTE QUALIFICATION TRAINING,90,AMA-500,AMA-511,COURSE,RES,Y,N,,96957,20OCT2016:00:00:00.000,18JAN2017:00:00:00.000,Y,N,,0.928571,0.951127,1,40,55,0.727272,1161212271,12DEC2016:00:00:00.000,13JAN2017:00:00:00.000,Y,32,0.933333,1,End of Course,Resident,Overall,Ov,14,Hi,1,St,St,Po,1,0,1,221323,8,Statement,13JAN2017:00:00:00.000,N,40,40,9,1,0,0,"Jeff ""the Father of ERAM"" is a god send.",20161020,20OCT2016:00:00:00.000,01OCT2016:00:00:00.000,30SEP2017:00:00:00.000,N,Y,N
50143,FAA50143,AIR TRAFFIC BASICS (EN ROUTE),90,AMA-500,AMA-513,COURSE,RES,Y,N,,102973,24OCT2016:00:00:00.000,29NOV2016:00:00:00.000,Y,N,,0.948717,0.947761,1,19,37,0.513513,1161123423,23NOV2016:00:00:00.000,28NOV2016:00:00:00.000,Y,5,0.8125,3,End of Course,Resident,Delivery,Th,3,In,4,So,Mi,Ne,0,1,4,216482,5,Statement,28NOV2016:00:00:00.000,N,86,86,17,1,0,0,We had an instructor that would act like it was a hassle to answer some our questions.,20161024,24OCT2016:00:00:00.000,01OCT2016:00:00:00.000,30SEP2017:00:00:00.000,N,Y,N
50143,FAA50143,AIR TRAFFIC BASICS (EN ROUTE),90,AMA-500,AMA-513,COURSE,RES,Y,N,,102973,24OCT2016:00:00:00.000,29NOV2016:00:00:00.000,Y,N,,0.948717,0.947761,1,19,37,0.513513,1161123423,23NOV2016:00:00:00.000,28NOV2016:00:00:00.000,Y,5,0.8125,5,End of Course,Resident,Course Curricul,Th,5,Ma,4,So,Mi,Ne,0,1,4,216483,5,Statement,28NOV2016:00:00:00.000,N,53,53,10,1,0,0,Not all course materials were correct and up to date.,20161024,24OCT2016:00:00:00.000,01OCT2016:00:00:00.000,30SEP2017:00:00:00.000,N,Y,N
50143,FAA50143,AIR TRAFFIC BASICS (EN ROUTE),90,AMA-500,AMA-513,COURSE,RES,Y,N,,102973,24OCT2016:00:00:00.000,29NOV2016:00:00:00.000,Y,N,,0.948717,0.947761,1,19,37,0.513513,1161123423,23NOV2016:00:00:00.000,28NOV2016:00:00:00.000,Y,5,0.8125,7,End of Course,Resident,Learning Enviro,Th,7,Di,4,So,Mi,Ne,0,1,4,216484,5,Statement,28NOV2016:00:00:00.000,N,145,145,24,2,0,0,"We had an instructor that did far more story telling than instructing. He was also incorrect on multiple occasions, when he would actually teach.",20161024,24OCT2016:00:00:00.000,01OCT2016:00:00:00.000,30SEP2017:00:00:00.000,N,Y,N
50148001,FAA50148001,INITIAL EN ROUTE QUALIFICATION TRAINING,90,AMA-500,AMA-511,COURSE,RES,Y,N,,102966,31OCT2016:00:00:00.000,27JAN2017:00:00:00.000,Y,N,,0.956912,0.981273,1,45,71,0.633802,1161130372,30NOV2016:00:00:00.000,12DEC2016:00:00:00.000,Y,12,0.928571,1,Intermediate Co,Intermedia,Delivery,Th,3,In,1,St,St,Po,1,0,1,218117,4,Statement,12DEC2016:00:00:00.000,N,123,123,22,1,0,0,Rich and Rich welcome all my questions and find different ways to explain things when I don't understand it the first time.,20161031,31OCT2016:00:00:00.000,01OCT2016:00:00:00.000,30SEP2017:00:00:00.000,N,Y,Y
50148001,FAA50148001,INITIAL EN ROUTE QUALIFICATION TRAINING,90,AMA-500,AMA-511,COURSE,RES,Y,N,,102966,31OCT2016:00:00:00.000,27JAN2017:00:00:00.000,Y,N,,0.956912,0.981273,1,45,71,0.633802,1161130372,30NOV2016:00:00:00.000,12DEC2016:00:00:00.000,Y,12,0.928571,2,Intermediate Co,Intermedia,Course Curricul,Th,9,,4,So,Mi,Ne,0,1,4,218118,4,Statement,12DEC2016:00:00:00.000,N,213,213,45,2,0,0,The course needs to have a week less of book work and instead use that week to run problems. I am sure a lot of us would do much better if we had one more week to run problems with the remotes and row instructors.,20161031,31OCT2016:00:00:00.000,01OCT2016:00:00:00.000,30SEP2017:00:00:00.000,N,Y,Y
